No;Nama;UTS;UAS;TUGAS;CATATAN;NILAI AKHIR
1;ABBIDAL MIFTAH ALFAHQRI;80;79;80;72;77,75
2;ABYAN KHAIRI RISHA;92;93;85;72;85,58333333
3;ALDEVA OKTANA;92;93;85;83;88,33333333
4;ALLYA AZZAHRA DIRA;78;83;79;78;79,58333333
5;ANNISA NUR SHADRINA;80;85;84;87;84
6;CAMELIO DAFINZA;87;91;92;84;88,25
7;DIRLY AYLA AZZURA;80;92;90;80;85,29166667
8;FACHRI NOVRIANZA;78;88;80;76;80,375
9;IQBAL SYAPUTRA;78;81;80;92;82,625
10;KEISHA NABILAH SHIFA;79;82;85;90;84
11;KEVIN SETIAWAN DUHA;85;88;84;75;83
12;M. DZAUBY AL FATHIR;78;85;83;85;82,625
13;MUAMAR KHADAFI;78;79;39;55;62,75
14;MUHAMMAD HANIF;85;88;88;80;85,25
15;MUHAMMAD ILHAM;78;81;79;75;78,125
16;MUHAMMAD ILHAM ALRASYID;78;83;83;85;82,125
17;NAYAKA ATHAILLAH HERMAN;80;88;87;70;81,33333333
18;PENNY FITRIANI FAHMI;78;82;79;80;79,75
19;PRASETHIO AKBAR;78;82;79;85;80,875
20;RAJA FAYYADH ABDURRAHMAN;90;90;86;79;86,25
21;RIO RIZKI WIJAYA;78;88;86;95;86,54166667
22;RIPALDO;82;88;85;94;87,16666667
23;RISKI RAPHAEL SIMORANGKIR;85;89;91;88;88,20833333
24;RIZKY AZHARI;83;88;91;88;87,45833333
25;SHADRIKA RAJA SAGARA;73;85;87;74;79,625
26;SHANDY RAMADHANA ADY;85;90;88;76;84,625
27;SYAHID ALIF PUTRA ADIKA;84;85;81;85;83,75
28;TESA LONIKA HUTAGAOL;79;81;82;93;83,625
29;ZAKY SURYA PERDANA;82;83;83;74;80,45833333
30;ZHASQIA RAMADHANY ABRONIE;50;79;79;74;70,5
31;AFPRY MISWANDI;60;80;70;81;72,75
32;AHMAD RAFI AKBAR;75;74;70;89;77
33;ANDIKA TIO GUNAWAN;70;60;60;90;70
34;ARDIAN WAHYU YUDHA PRATAMA;60;82;70;93;76,25
35;ARYA ADIPUTRA;78;50;50;85;65,75
36;BAYU ZIDAN ASHSHIDDIQ;50;70;60;76;64
37;CELVIN RAKSI;80;60;70;83;73,25
38;CRISTIAN BRAM JULIARDO MANURUNG;60;80;60;85;71,25
39;FEBRI ALAMSYAH;60;70;56;89;68,75
40;HIDAYATULLAH;78;60;60;87;71,25
41;JATI MAULANA;75;78;60;92;76,25
42;JOSUA RICARDO PANDIANGAN;75;78;50;73;69
43;M. EBBYN LUCKY SAPUTRA;80;50;50;95;68,75
44;M. REZA ERLANGGA;75;50;80;93;74,5
45;M.ZAKI;78;60;40;86;66
46;MESRA BR SIAHAAN;80;83;70;88;80,25
47;MUHAMMAD ALVIANDI SIDIQ;78;60;60;80;69,5
48;MUHAMMAD BRYAN FAHREZA;70;78;70;85;75,75
49;RADITYA ATHALLA;40;74;60;73;61,75
50;RAHUL RAMAHENDRA;50;70;60;81;65,25
51;RARA WARMAN;50;83;60;81;68,5
52;SAID AHMAD SYARIEF;75;76;80;82;78,25
53;TRIA PUTRI ANDINI;60;66;83;72;70,25
54;WINTER NATA NAEL;60;75;80;95;77,5
55;ZICO PUTRA PRATAMA;40;65;60;78;60,75
56;ANDRIAN SARJULI PANJAITAN;72;70;77;84;75,75
57;BAGAS FEBRIYANTO;78;76;80;72;76,5
58;BALDIAGUS DIANPAMA;78;75;80;79;78
59;BIMA SATRIA;78;78;80;70;76,5
60;BUNGA RISKI;70;65;78;94;76,75
61;DHITO GIFRI ASHWAT;70;65;78;82;73,75
62;DI AJENG PRASTITI;72;69;78;94;78,25
63;DIMAS ARIF KURNIADI;78;73;80;83;78,5
64;ELZA HAZRINA;70;65;78;94;76,75
65;FITRIYA HANDAYANI;70;65;78;94;76,75
66;M. FAREL ANTIKA;72;70;78;87;76,75
67;M. FIKRI ALVIN;72;70;78;87;76,75
68;M. REYHAN;72;70;78;73;73,25
69;MAHARDIKA ATHALLA;70;60;78;94;75,5
70;MASNUR AHMAD RIFAL SAPUTRA;74;70;80;74;74,5
71;MELKY ZULFRIADI;78;73;80;84;78,75
72;MUHAMMAD TAUFIK IKHSAN;72;69;78;80;74,75
73;OKTAVIAN BAGAS RAMADHAN;72;67;78;83;75
74;QURATUL AQSHA;74;68;78;73;73,25
75;REFLY RAHMANAPUTRA M;70;60;78;79;71,75
76;RIDA MUTIARA;70;64;78;82;73,5
77;RIZKI ANANDA;72;65;78;87;75,5
78;RIZKI DWI PUTRA;76;72;80;84;78
79;RIZKY ARDE PRATAMA;72;65;78;85;75
80;THEODORUS WALUYO NAINGGOLAN;72;64;78;71;71,25
81;ZAHARA RAHMADANI;70;64;78;92;76
82;ADE ILHAM;77,5;82,5;67,5;77;76,125
83;ADRIANO WINATA;40;60;70;82;63
84;DHENNIS TIRTA MAULANA K;82,5;82,5;69;90;81
85;FARA REZA LUTFIANIS;82,5;85;69;88;81,125
86;FAREL TRI ANDIKA;77,5;82,5;67,5;83;77,625
87;GERALD DIONATHAN SIREGAR;77,5;82,5;64;91;78,75
88;M. ADITIA RAIHANSYAH;60;85;67,5;73;71,375
89;MEI LESTARI BR SITORUS;80;85;69;74;77
90;MUHAMMAD RENDI RAMADHAN;50;77,5;72;85;71,125
91;MUHAMMAD SHADIQ AL KHAIRA;40;80,5;73;75;67,125
92;NABILLAH MUTTAQIYAH MONEVA;35;81,5;74;81;67,875
93;Budi;90;80;84;91;86,25
94;Ani;75;80;72;91;79,5
95;Joko;85;95;79;88;86,75
96;Siti;55;65;70;83;68,25
97;Agus;80;75;94;74;80,75
98;Dewi;75;95;82;72;81
99;Eka;85;95;94;72;86,5
100;Adi;70;65;83;83;75,25
101;Rina;80;70;94;78;80,5
102;Hadi;85;80;94;87;86,5
103;Maya;79;88;87;84;84,5
104;Rudi;95;85;87;80;86,75
105;Surya;94;81;73;76;81
106;Wati;88;91;94;92;91,25
107;Ari;88;85;74;87;83,5
108;Lia;74;84;84;74;79
